id;title;slug;feature_image;valid_from;valid_through;status;created_by;created_date;updated_date;updated_by
1;SCSI;support hack;sky;2022-05-22T22:38:23;2022-05-23T03:55:01;DRAFT;56799;2022-05-22T14:04:20;2022-05-22T09:11:45;31995
2;Account;Account haptic Berkshire;Licensed capacity;2022-05-22T13:19:57;2022-05-22T23:30:45;APPROVED;33295;2022-05-22T19:12:36;2022-05-23T00:08:43;59868
3;object-oriented;Garden;Integration Bacon;2022-05-22T06:19:03;2022-05-22T15:06:22;TO;1197;2022-05-23T02:06:17;2022-05-22T08:38:08;92727
4;Handcrafted;Roads;Fantastic Object-based Idaho;2022-05-22T05:01:02;2022-05-22T18:00:24;TRASHED;34047;2022-05-22T21:42:45;2022-05-22T04:21:25;71748
5;Pants;invoice hacking;Small;2022-05-22T06:45:01;2022-05-22T04:15:59;PUBLISHED;2531;2022-05-23T02:07:39;2022-05-22T08:05:13;24939
6;Cotton Ball;workforce revolutionize;ivory;2022-05-22T23:49:52;2022-05-22T11:15:01;TO;35878;2022-05-22T20:12:40;2022-05-22T10:03:32;86760
7;Tuna web-readiness Squares;Steel Account input;Handmade;2022-05-22T05:43:55;2022-05-23T03:06:57;TRASHED;80344;2022-05-23T00:24:40;2022-05-22T08:43:32;87738
8;Colorado engage bypass;calculate;Account California brand;2022-05-22T04:45:48;2022-05-23T01:04:04;DRAFT;5044;2022-05-23T03:25:29;2022-05-22T19:17:08;3649
9;infrastructures Chicken;Future Director;back payment Fresh;2022-05-22T04:37:08;2022-05-22T06:27:56;PUBLISHED;14362;2022-05-23T01:39:03;2022-05-23T02:37:49;38993
10;turn-key Central;Frozen;turn-key Designer;2022-05-22T05:14:19;2022-05-22T09:43:47;PUBLISHED;70377;2022-05-22T15:56:53;2022-05-22T06:37:28;1260
